PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Drew Brees	QB	NO	WAS	-270	52.50	-6.00	29.25	45.58	6500	11.4	1.8
Alvin Kamara	RB	NO	WAS	-270	52.50	-6.00	29.25	97.22	9700	22.1	2.3
Deshaun Watson	QB	HOU	DAL	-180	45.50	-3.50	24.50	14.20	6300	14.0	2.2
Michael Thomas	WR	NO	WAS	-270	52.50	-6.00	29.25	91.33	8500	30.3	3.6
DeAndre Hopkins	WR	HOU	DAL	-180	45.50	-3.50	24.50	19.44	7800	28.2	3.6
Alex Smith	QB	WAS	@NO	220	52.50	6.00	23.25	34.52	5600	12.8	2.3
Ezekiel Elliott	RB	DAL	@HOU	150	45.50	3.50	21.00	17.37	8300	23.4	2.8
Dak Prescott	QB	DAL	@HOU	150	45.50	3.50	21.00	5.60	5300	14.3	2.7
Chris Thompson	RB	WAS	@NO	220	52.50	6.00	23.25	44.81	6000	12.7	2.1
Adrian Peterson	RB	WAS	@NO	220	52.50	6.00	23.25	47.23	5000	18.9	3.8
Jamison Crowder	WR	WAS	@NO	220	52.50	6.00	23.25	64.43	4500	10.0	2.2
Jordan Reed	TE	WAS	@NO	220	52.50	6.00	23.25	41.74	5400	23.7	4.4
Will Fuller	WR	HOU	DAL	-180	45.50	-3.50	24.50	6.59	6400	25.5	4.0
Mark Ingram	RB	NO	WAS	-270	52.50	-6.00	29.25	31.90	5200	17.7	3.4
Lamar Miller	RB	HOU	DAL	-180	45.50	-3.50	24.50	2.61	4500	17.2	3.8
Cole Beasley	WR	DAL	@HOU	150	45.50	3.50	21.00	13.57	3700	19.3	5.2
Paul Richardson	WR	WAS	@NO	220	52.50	6.00	23.25	39.63	4200	19.7	4.7
Keke Coutee	WR	HOU	DAL	-180	45.50	-3.50	24.50	3.18	4800	19.5	4.1
Ben Watson	TE	NO	WAS	-270	52.50	-6.00	29.25	28.45	3100	17.2	5.5
Tavon Austin	WR	DAL	@HOU	150	45.50	3.50	21.00	6.46	3500	10.7	3.1
Alfred Blue	RB	HOU	DAL	-180	45.50	-3.50	24.50	1.22	3900	13.7	3.5
Cameron Meredith	WR	NO	WAS	-270	52.50	-6.00	29.25	29.44	3600	15.4	4.3
Geoff Swaim	TE	DAL	@HOU	150	45.50	3.50	21.00	11.25	2800	17.1	6.1
Houston Texans	D	HOU	DAL	150	45.50	3.50	21.00	0.00	2900	5.1	1.8
Michael Gallup	WR	DAL	@HOU	150	45.50	3.50	21.00	5.06	3400	15.0	4.4
Josh Doctson	WR	WAS	@NO	220	52.50	6.00	23.25	19.14	3700	17.9	4.8
New Orleans Saints	D	NO	WAS	220	52.50	6.00	23.25	0.00	2300	5.3	2.3
Dallas Cowboys	D	DAL	@HOU	-180	45.50	-3.50	24.50	0.00	2400	5.6	2.3
Ryan Griffin	TE	HOU	DAL	-180	45.50	-3.50	24.50	4.23	2500	14.5	5.8
Allen Hurns	WR	DAL	@HOU	150	45.50	3.50	21.00	1.96	3500	15.8	4.5
Vernon Davis	TE	WAS	@NO	220	52.50	6.00	23.25	12.95	2800	12.7	4.5
Washington Redskins	D	WAS	@NO	-270	52.50	-6.00	29.25	0.00	2000	5.8	2.9
Rod Smith	RB	DAL	@HOU	150	45.50	3.50	21.00	0.52	4000	10.7	2.7
Jordan Thomas	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.70	2500	0.0	0.0
Deonte Thompson	WR	DAL	@HOU	150	45.50	3.50	21.00	0.47	3400	16.4	4.8
Austin Carr	WR	NO	WAS	-270	52.50	-6.00	29.25	6.70	3000	11.7	3.9
Jordan Akins	TE	HOU	DAL	-180	45.50	-3.50	24.50	0.86	2500	13.2	5.3
Tre'Quan Smith	WR	NO	WAS	-270	52.50	-6.00	29.25	5.32	3200	12.3	3.8
Brice Butler	WR	DAL	@HOU	150	45.50	3.50	21.00	0.28	3000	0.0	0.0
Josh Hill	TE	NO	WAS	-270	52.50	-6.00	29.25	5.92	2500	10.0	4.0
Sammie Coates	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	10.0	3.3
Samaje Perine	RB	WAS	@NO	220	52.50	6.00	23.25	1.32	3200	10.0	3.1
Taysom Hill	QB	NO	WAS	-270	52.50	-6.00	29.25	0.11	4000	10.0	2.5
Jeremy Sprinkle	TE	WAS	@NO	220	52.50	6.00	23.25	2.67	2500	10.0	4.0
Maurice Harris	WR	WAS	@NO	220	52.50	6.00	23.25	1.40	3000	10.0	3.3
Rico Gathers	TE	DAL	@HOU	150	45.50	3.50	21.00	0.13	2500	11.0	4.4
Blake Jarwin	TE	DAL	@HOU	150	45.50	3.50	21.00	0.11	2500	10.7	4.3
Brian Quick	WR	WAS	@NO	220	52.50	6.00	23.25	1.24	3000	10.0	3.3
Kapri Bibbs	RB	WAS	@NO	220	52.50	6.00	23.25	0.79	3000	0.0	0.0
Zach Line	RB	NO	WAS	-270	52.50	-6.00	29.25	0.00	3000	10.0	3.3
Vyncint Smith	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	0.0	0.0
Buddy Howell	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	10.0	3.3
Terrance Williams	WR	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
Tyler Ervin	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	10.0	3.3
Ted Ginn	WR	NO	WAS	-270	52.50	-6.00	29.25	0.00	4400	0.0	0.0
Joe Webb	QB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4000	10.0	2.5
Rob Kelley	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	3000	0.0	0.0
Jamize Olawale	RB	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	10.0	3.3
Bruce Ellington	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3200	0.0	0.0
Mike White	QB	DAL	@HOU	150	45.50	3.50	21.00	0.00	4000	0.0	0.0
Teddy Bridgewater	QB	NO	WAS	-270	52.50	-6.00	29.25	0.00	4500	10.0	2.2
Michael Floyd	WR	WAS	@NO	220	52.50	6.00	23.25	0.00	3000	0.0	0.0
Cooper Rush	QB	DAL	@HOU	150	45.50	3.50	21.00	0.00	4200	10.0	2.4
Brandon Weeden	QB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4200	10.0	2.4
Noah Brown	WR	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
